,comment_id,Comment,word_length
0,5,djfjkdfjkjkffdk edited,10.5
1,41,Faith has exhibited enthusiasm in taking on the project at hand. She has already shown promising signs in understanding the core concepts of software engineering. I look forward discovering more as time goes on.,5.235294117647059
2,49,He now has now understood the structure of grails and how different components relate. Understands the process of getting API's from MTN,5.2272727272727275
3,50,"The Intern was oriented on ICT setup and Infrastructure of Soroti University, drafted workplan and started off the Internship. Simon was encouraged to take the Internship seriously as there was a lot to learn.",5.176470588235294
4,52,"The student was oriented on the organization structure, developed workplan for the 4 week internship and participated in assessment of printers for servicing.  He acquired both technical and teamwork skills at workplace.",5.875
5,53,Activities well completed,7.666666666666667
6,54,finished on time,4.666666666666667
7,55,"The student's weekly progress was justifiably good, characterized with enthusiasm to learning more.",6.6923076923076925
8,56,Noted,5.0
9,57,"She found this very interesting as she was able to identify, know problems associated an his to overcome them.",4.842105263157895
10,58,"Partially done, expected a better result based on Steven's experienced. More effort needed ...",5.785714285714286
11,63,Done to partial satisfaction. Hopefully learning points were picked.,6.666666666666667
12,65,Confirmed done as specified.,6.25
13,66,"He faced some problem of identifying the symbols, and other parts but he asked questions and made an effort to learn. Very good",4.565217391304348
14,68,"This activity took some time to be completed, but it was completed to my satisfaction.",4.8
15,71,"He knows the requirements of how and his to install, setting up a network and managing it.",4.352941176470588
16,80,"A little delays and constant supervision. The task has been finally completed, and reviewed by the line supervisor. Good job Mahad.",5.285714285714286
17,85,He seemed not to have an idea about setting up a structured network but now I know he can do a lot more,3.5217391304347827
18,88,"Student learnt and demonstrated system administration skill by creating emails for drivers, performed data backups, and troubleshooting of computer hardware and local area network.",6.541666666666667
19,96,Noted and tasks completed,5.5
20,97,"Stephen was diligent in his work. He made effort to resolve issues that were assigned to him.

He has a quick understanding of technical problems and he tries his best to solve them independently. 

Stephen is a quick learner and he has great future ahead of him in the software engineering field.",4.673076923076923
21,99,Noted and confirmed,5.666666666666667
22,100,He has very good knowledge of the whole process of installation.,4.909090909090909
23,102,Learning target achieved,7.333333333333333
24,120,She has knowledge of this topic and can identify and use the devices,4.3076923076923075
25,124,"I assigned him two tasks.  One was to learn the basics of software engineering (That is building architecture and the software process work flaw), and he has done them well. I  wanted him to learn git so that we can be working remotely as he learns, therefore I will be monitoring his code from Github. I realized that previously he knew nothing about Git, but now he knows something that can get him started.",4.513513513513513
26,126,"I assigned him two tasks.  One was to learn the basics of software engineering (That is building architecture and the software process work flaw), and he has done them well. I wanted him to learn git so that we can be working remotely as he learns, therefore I will be monitoring his code from Github. I realized that previously he knew nothing about Git, but now he knows something that can get him started.",4.513513513513513
27,142,"He was still having problems with using Jquery and Vue JS on the same interface, I advised him to use different master pages and only use the same CSS on both to avoid conflicts. But he is still working, it is steady progress",4.255813953488372
28,144,Good attitude and resilience. This is a good start,4.666666666666667
29,147,He is very interested in learning new things like the commands for system admins and other things otherwise very well performed,5.095238095238095
30,148,Good progress. I expect more from the student as we work together during this period.,4.733333333333333
31,149,Good time keeper with much interest on networks,5.0
32,160,"Maintains good working relationships with coworkers.
Has a good attendance record.
Error rate is acceptable, and all work is completed timely.",5.809523809523809
33,168,Took him some time to catch up with UNIX commands but great performance,4.538461538461538
34,220,"He's a quick learner, has a few ideas on the wordpress tasks and he's copying well.",4.25
35,225,"The student was able to install printer drivers. He was able to demonstrate file transfer through file access links on different computers. He was able to identify the compatible RAM  for the computer in question. He also was able to create rules to folders in MS outlook 2010.
With more practice, he will be able to operate with minimal supervision.",4.833333333333333
36,231,She needs more practice otherwise very interested,6.142857142857143
37,236,She knows about her hardware and can identify and troubleshoot related problems,5.666666666666667
38,252,"The student is well organized, willing to learn and innovative",5.3
39,253,"As stated, the internet blackout halted progress.",6.142857142857143
40,259,"She has already learned the basics of data analysis in pandas, which is key to the main task which is developing data visualizations. 
She has also presented a conceptual model for the API design for the data that will be required to implement the dashboards.",4.7555555555555555
41,263,This part was challenging to him especially with the configurations and terminations otherwise he makes effort to see that things work at the end of it all,4.777777777777778
42,264,"I gave him a task to work (improve) on the front end of a system that is already in production at this company, and he has been progressing well, I realized he knows some programming concepts, so I need to introduce him to real-world problems so he can find solutions to them. He is generally doing well, he will ask where he does not understand.",4.338461538461538
43,265,He has some knowledge about IP addresses and now is able to put them in practice,4.0625
44,281,quite impressive,7.5
45,283,This week went well. Had a fair amount of tech debt clearance and some feature additions.,4.625
46,284,This week had good development momentum. No issues from me.,5.0
47,285,He knows about IP addresses which is very good and now I believe he knows how to enter them and interconnect and configure different devices,4.64
48,286,This week had slower momentum due to some miscalculations on our part.,4.916666666666667
49,287,This week's work was mostly about reducing tech debt and improving pull request quality. There is a lot of progress being made on this front by all team members.,4.586206896551724
50,288,No notable issues came up to my attention in regard to tasks execution. I am also happy that Benjamin gets to help out on pull request reviews.,4.333333333333333
51,290,Tasks execution went well. No notable issues from me per their execution.,5.166666666666667
52,291,OK,2.0
53,293,This weeks progress was derailed due to Health issues by Benjamin. We hope next week will be better.,4.611111111111111
54,296,Tasks execution went well. No notable issues from me per their execution.,5.166666666666667
55,299,Good attempt and great enthusiasm,5.8
56,302,This was new to him but now is well knowledgeable about setting up a network,4.133333333333334
57,309,The student acquired skills in networks. Simon was very participative and inquisitive to learn more.,5.733333333333333
58,310,She can identify and troubleshoot the different components of a UPS,5.181818181818182
59,311,The student acquired hands on skills on installation and configuration of network devices and network layout.,5.875
60,312,She has performed well as she is asking and contributing to the identification and solving problems associated with a UPS,5.1
61,313,She is now knowledgeable about the different symbols associated with a UPS,5.25
62,314,She is able to identify the different parts of a computer. Very good,4.3076923076923075
63,315,She has performed very well as she can identity the different components,5.083333333333333
64,317,She has the knowledge but finds difficulty when starting the installation process,5.833333333333333
65,318,She has performed this very well with no hardship,4.555555555555555
66,319,The process is kind of challenging especially with the bios page otherwise during the installation she follows quite well,5.421052631578948
67,320,She needs more practice in terminating cables otherwise has knowledge of networking,6.0
68,321,She has learnt how the aspects of wireless networks work and can put them in practice,4.375
69,322,This is new to her but is serious on knowing what should be done,3.642857142857143
70,323,Notable presence of passion for graphics design and development,6.111111111111111
71,324,She quickly adapted to the use of Javascript for front end development however if possible more research in that direction would increase perfection hence help her to work faster,5.172413793103448
72,328,"He was given a task to do different code snippets with PHP before he can start on a real-world project, He has done well all the basics of PHP  With this he is good to go, Next is going to be combining JS, PHP, MySQL, and HTML. This will put him at a level of programming small projects for the start.",3.9344262295081966
73,329,Student started learning how to deal in corporate environments.,6.111111111111111
74,330,"The student took on a new language and development platform - Django and Python and progressed well on a weekly basis, managing to develop a task management application for the development unit.",5.09375
75,331,Good start. More research needed.,5.8
76,332,Good attitude towards challenges and willingness to learn. Well done.,6.0
77,333,"MS Angella is very smart, articulate, calm, ready to learn and willing to face the challenge. Ms Angella settles in well with the existing team who warmly welcomed her. Good luck with this attachment.",4.911764705882353
78,334,"Some more bug fixes and task finally completed. A report submitted, and I have reviewed the task. I should say, this was good progress.",4.666666666666667
79,335,"Also setup cPanel, uploaded the site files and enabled SSL. 
A few bugs to be sorted though.",4.411764705882353
80,336,Well done,4.0
81,341,The configuration were done successful as expected,6.285714285714286
82,342,She has mastered her hardware knowledge and now can identify and troubleshoot problems,5.6923076923076925
83,343,OK,2.0
84,345,"This includes how an Office telephone extension if created 
I)	Placing the telephone set in position
II)	Terminating the cable connecting the desk top phone to the general network running to the PABX.
III)	Creating the extension number
IV)	Configuring it for a desk phone
V)	Fixing a card on a server(PBX)

The student also did work concerning printer basic management. This included replenishing a printer's tonner.
The trainee also replaced  a laptop's Micro-processor.",5.337837837837838
85,346,student started on development.,7.0
