,0
0,"already ,1"
1,"concept ,1"
2,"enthusiasm ,1"
3,"exhibit ,1"
4,"forward ,1"
5,"go ,1"
6,"hand ,1"
7,"look ,1"
8,"project ,1"
9,"show ,1"
10,"sign ,1"
11,"software ,1"
12,"take ,1"
13,"time ,1"
14,"understand ,1"
15,"component ,1"
16,"different ,1"
17,"get ,1"
18,"process ,1"
19,"relate ,1"
20,"structure ,1"
21,"understood ,1"
22,"take ,1"
23,"ict ,1"
24,"intern ,1"
25,"learn ,1"
26,"lot ,1"
27,"orient ,1"
28,"setup ,1"
29,"start ,1"
30,"university ,1"
31,"structure ,1"
32,"orient ,1"
33,"acquire ,1"
34,"develop ,1"
35,"participate ,1"
36,"printer ,1"
37,"service ,1"
38,"student ,1"
39,"technical ,1"
40,"week ,1"
41,"activity ,1"
42,"time ,1"
43,"finish ,1"
44,"enthusiasm ,1"
45,"learn ,1"
46,"progress ,1"
47,"weekly ,1"
48,"note ,1"
49,"able ,1"
50,"find ,1"
51,"identify ,1"
52,"know ,1"
53,"problem ,1"
54,"base ,1"
55,"do ,1"
56,"effort ,1"
57,"expect ,1"
58,"need ,1"
59,"result ,1"
60,"learn ,1"
61,"do ,1"
62,"pick ,1"
63,"point ,1"
64,"satisfaction ,1"
65,"do ,1"
66,"learn ,1"
67,"identify ,1"
68,"problem ,1"
69,"effort ,1"
70,"ask ,1"
71,"face ,1"
72,"make ,1"
73,"part ,1"
74,"question ,1"
75,"take ,1"
76,"time ,1"
77,"activity ,1"
78,"satisfaction ,1"
79,"know ,1"
80,"install ,1"
81,"manage ,1"
82,"network ,1"
83,"requirement ,1"
84,"set ,1"
85,"constant ,1"
86,"job ,1"
87,"little ,1"
88,"supervision ,1"
89,"supervisor ,1"
90,"lot ,1"
91,"know ,1"
92,"network ,1"
93,"idea ,1"
94,"seem ,1"
95,"student ,1"
96,"network ,1"
97,"administration ,1"
98,"area ,1"
99,"computer ,1"
100,"create ,1"
101,"data ,1"
102,"demonstrate ,1"
103,"email ,1"
104,"hardware ,1"
105,"learnt ,1"
106,"local ,1"
107,"perform ,1"
108,"system ,1"
109,"troubleshoot ,1"
110,"software ,1"
111,"understand ,1"
112,"technical ,1"
113,"problem ,1"
114,"effort ,1"
115,"make ,1"
116,"ahead ,1"
117,"assign ,1"
118,"best ,1"
119,"field ,1"
120,"future ,1"
121,"great ,1"
122,"he ,1"
123,"issue ,1"
124,"learner ,1"
125,"quick ,2"
126,"resolve ,1"
127,"solve ,1"
128,"try ,1"
129,"note ,1"
130,"process ,1"
131,"installation ,1"
132,"knowledge ,1"
133,"learn ,1"
134,"identify ,1"
135,"knowledge ,1"
136,"device ,1"
137,"software ,2"
138,"get ,1"
139,"process ,1"
140,"learn ,3"
141,"start ,1"
142,"know ,2"
143,"do ,1"
144,"assign ,1"
145,"basic ,1"
146,"building ,1"
147,"code ,1"
148,"git ,2"
149,"github ,1"
150,"one ,1"
151,"remotely ,1"
152,"something ,1"
153,"two ,1"
154,"want ,1"
155,"software ,2"
156,"get ,1"
157,"process ,1"
158,"learn ,3"
159,"start ,1"
160,"know ,2"
161,"do ,1"
162,"assign ,1"
163,"basic ,1"
164,"building ,1"
165,"code ,1"
166,"git ,2"
167,"github ,1"
168,"one ,1"
169,"remotely ,1"
170,"something ,1"
171,"two ,1"
172,"want ,1"
173,"different ,1"
174,"progress ,1"
175,"problem ,1"
176,"advise ,1"
177,"interface ,1"
178,"master ,1"
179,"page ,1"
180,"still ,2"
181,"start ,1"
182,"attitude ,1"
183,"learn ,1"
184,"perform ,1"
185,"system ,1"
186,"command ,1"
187,"interested ,1"
188,"like ,1"
189,"new ,1"
190,"otherwise ,1"
191,"thing ,2"
192,"student ,1"
193,"progress ,1"
194,"expect ,1"
195,"period ,1"
196,"together ,1"
197,"time ,1"
198,"network ,1"
199,"interest ,1"
200,"much ,1"
201,"attendance ,1"
202,"coworkers. ,1"
203,"error ,1"
204,"has ,1"
205,"maintains ,1"
206,"relationship ,1"
207,"timely ,1"
208,"take ,1"
209,"time ,1"
210,"great ,1"
211,"command ,1"
212,"catch ,1"
213,"performance ,1"
214,"idea ,1"
215,"learner ,1"
216,"quick ,1"
217,"he's ,2"
218,"wordpress ,1"
219,"different ,1"
220,"printer ,1"
221,"student ,1"
222,"able ,5"
223,"identify ,1"
224,"question ,1"
225,"install ,1"
226,"supervision ,1"
227,"computer ,2"
228,"create ,1"
229,"demonstrate ,1"
230,"access ,1"
231,"also ,1"
232,"file ,2"
233,"link ,1"
234,"operate ,1"
235,"practice ,1"
236,"need ,1"
237,"interested ,1"
238,"otherwise ,1"
239,"practice ,1"
240,"relate ,1"
241,"identify ,1"
242,"know ,1"
243,"problem ,1"
244,"hardware ,1"
245,"troubleshoot ,1"
246,"learn ,1"
247,"student ,1"
248,"willing ,1"
249,"progress ,1"
250,"internet ,1"
251,"already ,1"
252,"learn ,1"
253,"develop ,1"
254,"data ,3"
255,"basic ,1"
256,"also ,1"
257,"analysis ,1"
258,"api ,1"
259,"dashboard ,1"
260,"design ,1"
261,"implement ,1"
262,"key ,1"
263,"main ,1"
264,"model ,1"
265,"present ,1"
266,"require ,1"
267,"she ,1"
268,"visualization ,1"
269,"effort ,1"
270,"make ,1"
271,"part ,1"
272,"otherwise ,1"
273,"thing ,1"
274,"configuration ,1"
275,"end ,1"
276,"especially ,1"
277,"see ,1"
278,"already ,1"
279,"concept ,1"
280,"understand ,1"
